stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,text_Feedback_Prac1.started,resp_trial_Prac1.stopped,text_Feedback_Prac1.stopped,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_trial_Test1.stopped,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,X,space,,,,,,,0,27,27,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.09816958299962,111.09816958299962,111.39821137500076,space,1,0.3151235000004817,,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,X,space,,,,,,,0,28,28,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.09788475000096,112.09788475000096,112.39784129200052,space,1,0.3304298330003803,,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,X,space,,,,,,,0,29,29,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.09811020800043,113.09811020800043,113.39813458299977,space,1,0.3757567079992441,,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,X,space,,,,,,,0,30,30,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.09823029200015,114.09823029200015,114.3978507920001,space,1,0.3816380409989506,,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,X,space,,,,,,,0,31,31,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.09789754200028,115.09789754200028,115.39781670800039,space,1,0.31702054100060195,,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,W,none,,,,,,,0,32,32,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.09849091700016,116.09849091700016,116.39787799999976,None,1,,,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,X,space,,,,,,,0,33,33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.09809720799967,117.09809720799967,117.39811225000085,space,1,0.6759339169984742,,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,T,none,,,,,,,0,34,34,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.09831537500031,118.09831537500031,118.39824645800036,None,1,,,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,X,space,,,,,,,0,35,35,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.09797170800084,119.09797170800084,119.39827458299987,space,1,0.3482300830000895,,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,X,space,,,,,,,0,36,36,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.09830620799949,120.09830620799949,120.39802079199944,space,1,0.4820525830000406,,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
