stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,text_Feedback_Prac1.started,text_Feedback_Prac1.stopped,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_trial_Test1.stopped,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.stopped,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
X,space,,,,,0,13,13,0,,,,,,,,,,,,,,,,,,,,,94.7917532499414,94.7917532499414,95.40840708301403,space,1,0.48199954093433917,96.79220800008625,,,,,,,,,,,,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
X,space,,,,,0,14,14,1,,,,,,,,,,,,,,,,,,,,,97.4753450830467,97.4753450830467,98.07483875006437,space,1,0.46689566620625556,99.47502254205756,,,,,,,,,,,,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.1918377080001,100.67494691698812,space,6.899893583031371,,,,,,,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,W,none,,,,,,,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.12903762492351,107.12903762492351,107.43938741693273,None,1,,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.141717457911,108.141717457911,108.45792070799507,space,1,0.5137459579855204,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,2,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.14076908305287,109.14076908305287,109.45796583313495,space,1,0.5006278750952333,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,3,3,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.14083329192363,110.14083329192363,110.4578447919339,space,1,0.4009104990400374,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,H,none,,,,,,,0,4,4,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.14099495811388,111.14099495811388,111.45787058304995,None,1,,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,5,5,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.14160600001924,112.14160600001924,112.45758058293723,space,1,0.3839605830144137,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.14079729211517,113.14079729211517,113.45772562501952,space,1,0.5225605831947178,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
