stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,text_Feedback_Prac1.started,resp_trial_Prac1.stopped,text_Feedback_Prac1.stopped,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_trial_Test1.stopped,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
X,space,,,,,0,13,13,7,,,,,,,,,,,,,,,,,,,,,94.28118187500513,94.28118187500513,94.88174179199996,space,1,0.7109380010006134,96.28130441700341,,96.98188508300518,,,,,,,,,,,,,,,,,,,,,,,,,,Lari2,001,2022-11-16_14h33.29.939,Trial go no go,2022.2.4,59.82171632951068,
K,none,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,96.98188508300518,96.98188508300518,97.5815435830009,None,1,,98.98136654200061,,99.68152858300164,,,,,,,,,,,,,,,,,,,,,,,,,,Lari2,001,2022-11-16_14h33.29.939,Trial go no go,2022.2.4,59.82171632951068,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.68152858300164,100.16473137499997,space,3.2990770839969628,,,,,,,,,,,,,,,,,,,,,,Lari2,001,2022-11-16_14h33.29.939,Trial go no go,2022.2.4,59.82171632951068,
,,X,space,,,,,,,0,0,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.00889620800444,103.00889620800444,103.31548670800112,space,1,0.6666601249962696,,,,,,,,,,,,,,,,Lari2,001,2022-11-16_14h33.29.939,Trial go no go,2022.2.4,59.82171632951068,
,,X,space,,,,,,,0,1,1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.01473675000307,104.01473675000307,104.31492295800126,space,1,0.39032908299850533,,,,,,,,,,,,,,,,Lari2,001,2022-11-16_14h33.29.939,Trial go no go,2022.2.4,59.82171632951068,
,,X,space,,,,,,,0,2,2,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.01511849999952,105.01511849999952,105.31542474999878,space,1,0.27047679200040875,,,,,,,,,,,,,,,,Lari2,001,2022-11-16_14h33.29.939,Trial go no go,2022.2.4,59.82171632951068,
,,M,none,,,,,,,0,3,3,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.01512704200286,106.01512704200286,106.3162065830038,None,1,,,,,,,,,,,,,,,,,Lari2,001,2022-11-16_14h33.29.939,Trial go no go,2022.2.4,59.82171632951068,
,,X,space,,,,,,,0,4,4,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0157173750049,107.0157173750049,107.31522254200536,space,1,0.25607125100214034,,,,,,,,,,,,,,,,Lari2,001,2022-11-16_14h33.29.939,Trial go no go,2022.2.4,59.82171632951068,
,,Y,none,,,,,,,0,5,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.01480454199918,108.01480454199918,108.31515908300207,None,1,,,,,,,,,,,,,,,,,Lari2,001,2022-11-16_14h33.29.939,Trial go no go,2022.2.4,59.82171632951068,
,,X,space,,,,,,,0,6,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.01503320800111,109.01503320800111,109.31502354200347,space,1,0.2737175840011332,,,,,,,,,,,,,,,,Lari2,001,2022-11-16_14h33.29.939,Trial go no go,2022.2.4,59.82171632951068,
,,X,space,,,,,,,0,7,7,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0153615829986,110.0153615829986,110.3148168330008,space,1,0.34301425000012387,,,,,,,,,,,,,,,,Lari2,001,2022-11-16_14h33.29.939,Trial go no go,2022.2.4,59.82171632951068,
,,X,space,,,,,,,0,8,8,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.01496350000525,111.01496350000525,111.31496729200444,space,1,0.3020077080000192,,,,,,,,,,,,,,,,Lari2,001,2022-11-16_14h33.29.939,Trial go no go,2022.2.4,59.82171632951068,
,,E,none,,,,,,,0,9,9,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.01507520800078,112.01507520800078,112.31497616699926,None,1,,,,,,,,,,,,,,,,,Lari2,001,2022-11-16_14h33.29.939,Trial go no go,2022.2.4,59.82171632951068,
,,X,space,,,,,,,0,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.01514375000261,113.01514375000261,113.3152717500052,space,1,0.26927441699808696,,,,,,,,,,,,,,,,Lari2,001,2022-11-16_14h33.29.939,Trial go no go,2022.2.4,59.82171632951068,
,,X,space,,,,,,,0,11,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.01499612499902,114.01499612499902,114.31490762500471,space,1,0.3536255419967347,,,,,,,,,,,,,,,,Lari2,001,2022-11-16_14h33.29.939,Trial go no go,2022.2.4,59.82171632951068,
